Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project3.PrjPcb|ReportField=ProjectFullPath~C:\Users\Administrator\Desktop\高压\MENB-C-H-DET-S-V1.1 2018.9.21\MENB-C-H-DET-S-V1.1 2018.9.21\PCB_Project3.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~139|ReportField=ReportTime~下午 5:10:35|ReportField=ReportDate~2018/10/11 星期四|ReportField=ReportDateTime~2018/10/11 星期四 下午 5:10:35|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=~8通道刺激输出板|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/10/11 星期四|ReportField=CurrentTime~下午 5:10:33|ReportField=Date~2011.10.28|ReportField=DocumentFullPathAndName~C:\Users\Administrator\Desktop\高压\MENB-C-H-DET-S-V1.1 2018.9.21\MENB-C-H-DET-S-V1.1 2018.9.21\SCH\输出板.SchDoc|ReportField=DocumentName~输出板.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Phoenix Joe|ReportField=Engineer~Phoenix Joe|ReportField=ImagePath~|ReportField=ModifiedDate~2015/11/3 星期二|ReportField=Organization~|ReportField=ProjectName~PCB_Project3.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project3.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Administrator\Desktop\高压\MENB-C-H-DET-S-V1.1 2018.9.21\MENB-C-H-DET-S-V1.1 2018.9.21\PCB_Project3.PrjPcb
12-60||2|12-60|12-60|1
LDO?||ADP1|ADP1711_3v3|ADP1711_3v3|1
1u|Capacitor (Semiconductor SIM Model)|C1, C2|CC1608-0603|Cap Semi|2
10n|Capacitor (Semiconductor SIM Model)|C3|CC1608-0603|Cap Semi|1
0.1uF|Capacitor (Semiconductor SIM Model)|C4, C9, C13, C22, C24, C25|CC1608-0603|Cap Semi|6
15p|Capacitor (Semiconductor SIM Model)|C5, C6|CC1608-0603|Cap Semi|2
10uF|Capacitor (Semiconductor SIM Model)|C7, C10, C12|CC3216-1206|Cap Semi|3
Cap Semi|Capacitor (Semiconductor SIM Model)|C8|CC1608-0603|Cap Semi|1
104|Capacitor (Semiconductor SIM Model)|C11, C19, C31|C0603|Cap Semi|3
10uF/16V|Polarized Capacitor (Radial)|C20|C1206|Cap Pol1|1
Cap|Polarized Capacitor (Radial)|C21, C23|1206|Cap Pol1|2
20pF|Capacitor (Semiconductor SIM Model)|C26, C30|C0603|Cap Semi|2
0.1uF|Capacitor (Semiconductor SIM Model)|C27, C28, C29, C33, C35, C36, C37, C38, C39|C0603|Cap Semi|9
10uF/50V|Polarized Capacitor (Surface Mount)|C32, C34|C0805|Cap Pol3|2
0.33uF|Capacitor|C200|cap0603|Cap|1
0.1uF|Capacitor|C201|cap0603|Cap|1
MSP430F169||cpu1|msp430f149|MSP430F149|1
SS14|1.0 Ampere Schottky Barrier Rectifiers|D1|DO-214 SMA|Diode|1
Header 2|Header, 2-Pin|DC12V_IN, P2, P3, P6, P8, P9|HDR1X2|Header 2|6
12-5||DC-DC1, DC-DC3|12-5|12-5|2
IN4148|Typical BLUE SiC LED|DS1|SMD _LED|LED3|1
Header 6|Header, 6-Pin|JP1|HDR1X6|Header 6|1
8M|Header, 3-Pin|JP2|HDR1X3|Header 3|1
Header 3|Header, 3-Pin|JP6, POWER1, POWER2, POWER3, POWER4|HDR1X3|Header 3|5
LED|Typical BLUE SiC LED|LED10|6-0805_M|LED3|1
Header 17X2|Header, 17-Pin, Dual row|P1|HDR2X17-NIUJIAO|Header 17X2|1
Header 4|Header, 4-Pin|P4|Power-4P|Header 4|1
